road,id,model_type,condition,name,lat,lon,length
N1,375,link,,LRP171,22.891639,91.535472,1000.0
N1,376,link,,LRP172,22.882999,91.538166,915.0
N1,377,bridge,A,LRP172b,22.875166,91.540722,2.0
N1,378,link,,LRP173,22.874444,91.540972,162.0
N1,379,bridge,A,LRP173a,22.873138,91.541444,1.5
N1,380,bridge,A,LRP173b,22.868416,91.543166,1.5
N1,381,link,,LRP174,22.866111,91.544,576.0
N1,382,bridge,A,LRP174a,22.861118,91.545126,8.5
N1,383,bridge,A,LRP174b,22.859583,91.545472,3.0
N1,384,link,,LRP175,22.857556,91.545639,165.0
N1,385,bridge,A,LRP175a,22.856,91.545722,3.0
N1,386,bridge,A,LRP175b,22.855056,91.545833,3.0
N1,387,link,,LRP176,22.848666,91.546361,17.0
N1,388,bridge,A,LRP176a,22.848527,91.546389,4.5
N1,389,bridge,C,LRP176b,22.848444,91.546416,12.4
N1,390,link,,LRP176c,22.845222,91.547527,240.0
N1,391,link,,LRP176d,22.84325,91.548222,353.0
N1,392,link,,LRP177,22.840194,91.549055,314.0
N1,393,link,,LRP177a,22.83725,91.54925,686.0
N1,394,link,,LRP178,22.831388,91.550361,872.0
N1,395,link,,LRP178a,22.823944,91.552833,128.0
N1,396,link,,LRP179,22.822805,91.553139,1000.0
N1,397,link,,LRP180,22.814139,91.555583,340.0
N1,398,link,,LRP180a,22.811056,91.556389,406.0
N1,399,link,,LRP180b,22.808,91.557917,252.0
N1,400,link,,LRP180c,22.805972,91.558917,2.0
N1,401,link,,LRP181,22.805944,91.558917,155.0
N1,402,bridge,A,LRP181a,22.804583,91.559111,4.5
N1,403,link,,LRP182,22.797472,91.561361,493.0
N1,404,bridge,B,LRP182a,22.793416,91.563333,23.2
N1,405,link,,LRP182b,22.789611,91.565444,35.0
N1,406,link,,LRP183,22.789361,91.565583,994.0
N1,407,link,,LRP183a,22.781333,91.569527,6.0
N1,408,link,,LRP184,22.781222,91.569583,15.0
N1,409,bridge,A,LRP184a,22.781138,91.569638,9.7
N1,410,link,,LRP184b,22.77711,91.571333,475.0
N1,411,link,,LRP184c,22.773277,91.57336,24.0
N1,412,link,,LRP185,22.773027,91.573472,469.0
N1,413,bridge,A,LRP185a,22.76936,91.57561,4.0
N1,414,link,,LRP185b,22.766194,91.577999,529.0
N1,415,link,,LRP186,22.765472,91.578555,453.0
N1,416,bridge,A,LRP186a,22.762194,91.581138,12.9
N1,417,link,,LRP187,22.758528,91.584527,820.0
N1,418,bridge,A,LRP187a,22.752639,91.589361,3.0
N1,419,bridge,B,LRP187b,22.7525,91.589472,8.1
N1,420,link,,LRP188,22.751333,91.590361,232.0
N1,421,link,,LRP188a,22.749639,91.591639,768.0
N1,422,link,,LRP189,22.743555,91.594916,32.0
N1,423,link,,LRP189a,22.743305,91.595027,968.0
N1,424,link,,LRP190,22.735,91.597944,12.0
N1,425,bridge,A,LRP190a,22.734916,91.597972,3.0
N1,426,link,,LRP191,22.726388,91.600778,539.0
N1,427,bridge,A,LRP191a,22.72211,91.603083,3.0
N1,428,link,,LRP192,22.718555,91.605306,260.0
N1,429,link,,LRP192a,22.716556,91.606556,75.0
N1,430,link,,LRP192b,22.716,91.606917,215.0
N1,431,link,,LRP193,22.714389,91.607944,256.0
N1,432,bridge,A,LRP193a,22.712417,91.609056,19.2
N1,433,link,,LRP193b,22.707611,91.611806,137.0
N1,434,link,,LRP194,22.706556,91.612361,68.0
N1,435,bridge,A,LRP194a,22.706,91.612694,4.2
N1,436,link,,LRP194b,22.703306,91.614222,381.0
N1,437,link,,LRP194c,22.700222,91.615778,220.0
N1,438,link,,LRP195,22.6985,91.616666,784.0
N1,439,bridge,A,LRP195a,22.691972,91.61986,3.2
N1,440,link,,LRP196,22.690416,91.620527,98.0
N1,441,bridge,A,LRP196a,22.689583,91.620833,6.0
N1,442,link,,LRP196b,22.685083,91.622833,317.0
N1,443,link,,LRP197,22.682555,91.624194,670.0
N1,444,bridge,A,LRP197a,22.676944,91.626833,3.0
N1,445,bridge,A,LRP197b,22.675138,91.627444,3.0
N1,446,link,,LRP198,22.674305,91.627749,120.0
N1,447,bridge,A,LRP198a,22.673305,91.628083,3.0
N1,448,link,,LRP198b,22.672249,91.628527,506.0
N1,449,link,,LRP198c,22.66786,91.63011,370.0
N1,450,link,,LRP199,22.664917,91.631555,138.0
N1,451,bridge,A,LRP199a,22.663833,91.632138,3.1
N1,452,bridge,A,LRP199b,22.659667,91.634722,4.6
N1,453,link,,LRP200,22.657139,91.636333,357.0
N1,454,link,,LRP200a,22.654389,91.638139,209.0
N1,455,link,,LRP200b,22.652778,91.639166,411.0
N1,456,link,,LRP201,22.6495,91.640833,67.0
N1,457,bridge,A,LRP201a,22.649,91.641111,3.0
N1,458,bridge,A,LRP201b,22.645277,91.643055,3.0
N1,459,link,,LRP202,22.641583,91.645111,974.0
N1,460,bridge,A,LRP202a,22.633861,91.649472,3.0
N1,461,link,,LRP203,22.633083,91.649833,135.0
N1,462,bridge,A,LRP203a,22.632027,91.650389,3.0
N1,463,bridge,A,LRP203b,22.625916,91.654139,3.0
N1,464,link,,LRP204,22.625222,91.654528,219.0
N1,465,bridge,A,LRP204a,22.623472,91.655306,4.6
N1,466,link,,LRP204b,22.620694,91.656361,163.0
N1,467,link,,LRP204c,22.619499,91.656889,20.0
N1,468,link,,LRP204d,22.618027,91.657833,253.0
N1,469,link,,LRP204f,22.617527,91.65825,91.0
N1,470,link,,LRP205,22.616972,91.65875,16.0
N1,471,bridge,A,LRP205a,22.61686,91.658861,3.0
N1,472,link,,LRP205b,22.612389,91.662222,372.0
N1,473,link,,LRP206,22.609444,91.663833,72.0
N1,474,bridge,A,LRP206a,22.608889,91.664111,2.95
N1,475,link,,LRP207,22.601583,91.668833,130.0
N1,476,bridge,A,LRP207a,22.601,91.669277,4.5
N1,477,link,,LRP207b,22.600056,91.669944,49.0
N1,478,link,,LRP207c,22.599444,91.670305,681.0
N1,479,link,,LRP207d,22.594222,91.673777,25.0
N1,480,link,,LRP208,22.594,91.673833,408.0
N1,481,bridge,C,LRP208a,22.59075,91.675472,22.25
N1,482,link,,LRP209,22.584583,91.678083,117.0
N1,483,bridge,A,LRP209a,22.583666,91.678472,10.2
N1,484,link,,LRP209b,22.5835,91.678583,343.0
N1,485,link,,LRP209c,22.580666,91.679944,331.0
N1,486,link,,LRP209d,22.577944,91.681138,183.0
N1,487,link,,LRP210,22.57636,91.681805,377.0
N1,488,bridge,A,LRP210a,22.573194,91.683083,3.0
N1,489,bridge,A,LRP210b,22.573055,91.683194,8.2
