id,road,name,lat,lon,length,condition,constructionYear,model_type,quality_score
186,N1,LRP086,23.4767216,91.1364441,1000.0,,,link,0.0
187,N1,LRP087,23.4682216,91.1394441,1000.0,,,link,0.0
188,N1,LRP088,23.4595833,91.1421386,68.00000000001205,,,link,0.0
189,N1,LRP088a,23.459,91.142333,23.4,A,1988.0,bridge,4.0
190,N1,LRP089,23.4513056,91.1460552,303.0000000000115,,,link,0.0
191,N1,LRP089a,23.448833,91.1471386,24.00000000000091,,,link,0.0
192,N1,LRP089b,23.4486386,91.1472497,209.99999999999375,,,link,0.0
193,N1,LRP089c,23.4469441,91.1481386,462.99999999999386,,,link,0.0
194,N1,LRP090,23.4425274,91.1497774,684.0000000000117,,,link,0.0
195,N1,LRP091,23.4373886,91.1521944,1000.0,,,link,0.0
196,N1,LRP092,23.4288882,91.1553889,979.9999999999898,,,link,0.0
197,N1,LRP093,23.4236938,91.1626944,28.000000000005798,,,link,0.0
198,N1,LRP093a,23.4235827,91.1629722,37.00000000000614,,,link,0.0
199,N1,LRP093b,23.423416,91.1632778,507.99999999999557,,,link,0.0
200,N1,LRP093c,23.4213604,91.167666,426.9999999999925,,,link,0.0
201,N1,LRP094,23.4195271,91.171416,90.00000000000341,,,link,0.0
202,N1,LRP094a,23.4191382,91.1721938,27.9,B,1990.0,bridge,3.0
203,N1,LRP095,23.4149444,91.1801382,511.0000000000099,,,link,0.0
204,N1,LRP095a,23.4131111,91.1846663,27.999999999991587,,,link,0.0
205,N1,LRP095b,23.4130556,91.1849163,460.9999999999985,,,link,0.0
206,N1,LRP096,23.4125,91.1893886,1008.0000000000098,,,link,0.0
207,N1,LRP097,23.4113056,91.1988886,1027.000000000001,,,link,0.0
208,N1,LRP098,23.4100833,91.2087778,36.99999999999193,,,link,0.0
209,N1,LRP098a,23.4100278,91.2090833,27.9,A,1995.0,bridge,4.0
210,N1,LRP099,23.4048056,91.2165278,171.99999999999704,,,link,0.0
211,N1,LRP099a,23.40375,91.2176382,28.999999999996362,,,link,0.0
212,N1,LRP099b,23.4035556,91.2178049,799.0000000000066,,,link,0.0
213,N1,LRP100,23.398213447804338,91.22288776581436,1000.0,,,link,0.0
214,N1,LRP101,23.3915274,91.2292493,10.000000000005116,,,link,0.0
215,N1,LRP101a,23.3914441,91.2293049,30.48,A,,bridge,4.0
216,N1,LRP101b,23.385083,91.2345552,15.000000000000568,,,link,0.0
217,N1,LRP101c,23.3849719,91.2346108,82.99999999999841,,,link,0.0
218,N1,LRP102,23.3843886,91.2351108,897.9999999999961,,,link,0.0
219,N1,LRP102a,23.3779716,91.2403608,30.000000000001137,,,link,0.0
220,N1,LRP102b,23.3777493,91.2405274,72.00000000000273,,,link,0.0
221,N1,LRP103,23.377166,91.2409163,1000.0,,,link,0.0
222,N1,LRP104,23.3695827,91.2462774,170.99999999999227,,,link,0.0
223,N1,LRP104a,23.3683327,91.2471108,22.88,C,,bridge,2.0
224,N1,LRP105,23.3615278,91.2515556,365.99999999999966,,,link,0.0
225,N1,LRP105a,23.3586389,91.25325,14.3,A,1974.0,bridge,4.0
226,N1,LRP105b,23.3584444,91.2533333,609.9999999999994,,,link,0.0
227,N1,LRP106,23.3536944,91.2561389,686.9999999999976,,,link,0.0
228,N1,LRP106a,23.3486386,91.2599444,313.0000000000024,,,link,0.0
229,N1,LRP107,23.3463608,91.2616944,1000.0,,,link,0.0
230,N1,LRP108,23.3390552,91.2672216,443.9999999999884,,,link,0.0
231,N1,LRP108a,23.3360274,91.2700549,44.00000000001114,,,link,0.0
232,N1,LRP108b,23.3357219,91.2703049,143.00000000000068,,,link,0.0
233,N1,LRP108c,23.3347219,91.271166,368.9999999999998,,,link,0.0
234,N1,LRP109,23.3321938,91.2734716,1000.0,,,link,0.0
235,N1,LRP110,23.3246382,91.278666,72.99999999999329,,,link,0.0
236,N1,LRP110a,23.324166,91.2791104,19.2,B,1979.0,bridge,3.0
237,N1,LRP110b,23.3240827,91.279166,917.0000000000016,,,link,0.0
238,N1,LRP111,23.3171382,91.2836941,269.999999999996,,,link,0.0
239,N1,LRP111a,23.3149444,91.2844719,3.2,A,1986.0,bridge,4.0
240,N1,LRP111b,23.31475,91.2845552,597.999999999999,,,link,0.0
241,N1,LRP111c,23.3096389,91.2861386,112.99999999999955,,,link,0.0
242,N1,LRP112,23.3086944,91.2864163,546.999999999997,,,link,0.0
243,N1,LRP112a,23.30425,91.288583,13.4,A,1986.0,bridge,4.0
244,N1,LRP113,23.3006111,91.290333,518.9999999999912,,,link,0.0
245,N1,LRP113a,23.296083,91.2914997,4.6,B,1984.0,bridge,3.0
246,N1,LRP113b,23.2959719,91.2915274,466.99999999999875,,,link,0.0
247,N1,LRP114,23.2919163,91.2922219,501.99999999999534,,,link,0.0
248,N1,LRP114a,23.2876663,91.2936386,6.3,B,1992.0,bridge,3.0
249,N1,LRP115,23.283583,91.2952219,774.0000000000009,,,link,0.0
250,N1,LRP115a,23.2787216,91.3002778,225.9999999999991,,,link,0.0
251,N1,LRP116,23.2768882,91.3011944,1000.0,,,link,0.0
252,N1,LRP117,23.2686382,91.3049722,115.99999999999966,,,link,0.0
253,N1,LRP117a,23.2677493,91.3054722,4.5,B,1984.0,bridge,3.0
254,N1,LRP117b,23.2654444,91.3064444,202.99999999998875,,,link,0.0
255,N1,LRP117c,23.2636667,91.30675,404.0000000000106,,,link,0.0
256,N1,LRP118,23.2601111,91.3072778,155.9999999999917,,,link,0.0
257,N1,LRP118a,23.2587222,91.3074444,2.5,B,1992.0,bridge,3.0
258,N1,LRP119,23.2511944,91.3086389,173.99999999999238,,,link,0.0
259,N1,LRP119a,23.249833,91.3091944,2.5,A,1990.0,bridge,4.0
260,N1,LRP119b,23.248333,91.3098056,3.1,B,1988.0,bridge,3.0
261,N1,LRP119c,23.2481663,91.3098889,346.9999999999942,,,link,0.0
262,N1,LRP119d,23.2452774,91.3110556,270.00000000001023,,,link,0.0
263,N1,LRP120,23.243083,91.3119167,162.9999999999967,,,link,0.0
264,N1,LRP120a,23.2416941,91.3123611,2.6,B,1984.0,bridge,3.0
265,N1,LRP120b,23.2344997,91.3131667,6.0,A,1984.0,bridge,4.0
266,N1,LRP121,23.2343052,91.3131667,314.9999999999977,,,link,0.0
267,N1,LRP121a,23.2314993,91.3132222,447.9999999999933,,,link,0.0
268,N1,LRP121b,23.2275549,91.3135278,14.3,B,1990.0,bridge,3.0
269,N1,LRP122,23.2253882,91.3135833,449.99999999998863,,,link,0.0
270,N1,LRP122a,23.221416,91.3137222,6.1,A,1984.0,bridge,4.0
271,N1,LRP122b,23.2184993,91.3143889,222.0000000000084,,,link,0.0
272,N1,LRP123,23.2165556,91.3149167,717.9999999999893,,,link,0.0
273,N1,LRP123a,23.2103056,91.3157222,6.1,A,1984.0,bridge,4.0
274,N1,LRP124,23.2078889,91.3159722,771.0000000000008,,,link,0.0
275,N1,LRP124a,23.201,91.3168049,6.1,C,1986.0,bridge,2.0
276,N1,LRP125,23.1990274,91.3170549,864.9999999999949,,,link,0.0
277,N1,LRP125a,23.1921108,91.3185549,9.5,B,1978.0,bridge,3.0
278,N1,LRP126,23.1909997,91.3192493,522.9999999999961,,,link,0.0
279,N1,LRP126a,23.1866941,91.3212493,3.1,B,1984.0,bridge,3.0
280,N1,LRP126b,23.1866108,91.3212771,465.0000000000034,,,link,0.0
281,N1,LRP127,23.1826382,91.3210827,613.9999999999901,,,link,0.0
282,N1,LRP127a,23.1773604,91.3198049,9.5,A,1992.0,bridge,4.0
283,N1,LRP128,23.172916,91.3205271,546.0000000000065,,,link,0.0
284,N1,LRP128a,23.1681382,91.3213604,6.3,B,1984.0,bridge,3.0
285,N1,LRP128b,23.1680549,91.3213604,439.9999999999977,,,link,0.0
286,N1,LRP129,23.1641389,91.3214993,792.0000000000016,,,link,0.0
287,N1,LRP129a,23.1571667,91.3224993,3.5,B,1984.0,bridge,3.0
288,N1,LRP130,23.1554167,91.3232771,631.9999999999908,,,link,0.0
289,N1,LRP130a,23.1496941,91.3254993,6.1,B,1992.0,bridge,3.0
290,N1,LRP130b,23.1480274,91.3264993,99.00000000001796,,,link,0.0
291,N1,LRP131,23.1471663,91.3266938,420.99999999999227,,,link,0.0
292,N1,LRP131a,23.1433886,91.326666,3.0,B,1983.0,bridge,3.0
293,N1,LRP132,23.1382219,91.3263049,102.00000000000387,,,link,0.0
294,N1,LRP132a,23.1374163,91.3264716,4.5,B,1972.0,bridge,3.0
295,N1,LRP133,23.1295827,91.3284993,69.99999999999318,,,link,0.0
296,N1,LRP133a,23.1290827,91.3287216,5.3,B,1983.0,bridge,3.0
297,N1,LRP133b,23.1234993,91.3311382,254.99999999999545,,,link,0.0
298,N1,LRP134,23.1213327,91.3320549,247.99999999999045,,,link,0.0
299,N1,LRP134a,23.1193049,91.3329993,6.1,A,1984.0,bridge,4.0
300,N1,LRP135,23.1191382,91.3330827,1000.0,,,link,0.0
301,N1,LRP136,23.1113611,91.3378052,75.00000000001705,,,link,0.0
302,N1,LRP136a,23.1108056,91.3381386,3.1,A,1984.0,bridge,4.0
303,N1,LRP136b,23.1051111,91.3413608,204.99999999998408,,,link,0.0
304,N1,LRP137,23.1035,91.3422497,367.999999999995,,,link,0.0
305,N1,LRP137a,23.1005833,91.3437774,3.5,A,1994.0,bridge,4.0
306,N1,LRP137b,23.0961941,91.3461108,14.2,B,1994.0,bridge,3.0
307,N1,LRP138,23.095583,91.3464441,688.0000000000166,,,link,0.0
308,N1,LRP138a,23.0901108,91.3494163,6.1,B,1986.0,bridge,3.0
309,N1,LRP139,23.0876108,91.3508889,344.99999999999886,,,link,0.0
310,N1,LRP139a,23.0849719,91.3524722,527.0000000000152,,,link,0.0
311,N1,LRP139b,23.0808049,91.3548611,16.999999999995907,,,link,0.0
312,N1,LRP139c,23.0806938,91.3549444,193.00000000001205,,,link,0.0
313,N1,LRP140,23.0792493,91.3558333,765.9999999999911,,,link,0.0
314,N1,LRP140a,23.0732493,91.3594167,4.0,B,1984.0,bridge,3.0
315,N1,LRP141,23.0712493,91.3599722,274.99999999997726,,,link,0.0
316,N1,LRP141a,23.0688604,91.3607222,611.0000000000184,,,link,0.0
317,N1,LRP141b,23.0636944,91.3616389,18.000000000000682,,,link,0.0
318,N1,LRP142,23.0635278,91.3616389,229.99999999998977,,,link,0.0
319,N1,LRP142a,23.0614722,91.3616667,10.8,A,1999.0,bridge,4.0
320,N1,LRP143,23.0538611,91.3637222,500.0,,,link,0.0
321,N1,LRP143a,23.0479441,91.3651389,1.6,A,1970.0,bridge,4.0
322,N1,LRP144,23.0449719,91.3653611,195.99999999999795,,,link,0.0
323,N1,LRP144a,23.0427774,91.3654444,336.00000000001273,,,link,0.0
324,N1,LRP144b,23.0398052,91.3656111,467.9999999999893,,,link,0.0
325,N1,LRP145,23.0360274,91.36575,735.0000000000136,,,link,0.0
326,N1,LRP145a,23.029416,91.3656389,3.4,A,1981.0,bridge,4.0
327,N1,LRP146,23.0269716,91.3655,239.99999999998067,,,link,0.0
328,N1,LRP146a,23.0248327,91.3655278,760.9999999999957,,,link,0.0
329,N1,LRP147,23.0193604,91.3697771,151.00000000001046,,,link,0.0
330,N1,LRP147a,23.0185271,91.3708327,723.9999999999895,,,link,0.0
331,N1,LRP147b,23.0140833,91.3759716,125.0,,,link,0.0
332,N1,LRP148,23.0132778,91.3769438,614.0000000000043,,,link,0.0
333,N1,LRP148a,23.0095556,91.3813604,1.5,A,1970.0,bridge,4.0
334,N1,LRP150,23.0018889,91.3920552,1000.0,,,link,0.0
335,N1,LRP151,22.9963886,91.3998052,85.00000000000796,,,link,0.0
336,N1,LRP151a,22.9961941,91.4005,22.999999999996135,,,link,0.0
337,N1,LRP151b,22.9960552,91.4006667,917.0000000000016,,,link,0.0
338,N1,LRP152,22.9906941,91.4072222,447.9999999999791,,,link,0.0
339,N1,LRP152a,22.9877774,91.41,296.0000000000207,,,link,0.0
340,N1,LRP152b,22.9858886,91.4120556,256.0000000000002,,,link,0.0
341,N1,LRP153,22.9842219,91.4137222,1050.9999999999877,,,link,0.0
342,N1,LRP154,22.9774438,91.4205827,1000.0,,,link,0.0
343,N1,LRP155,22.9711382,91.4273882,1000.0,,,link,0.0
344,N1,LRP156,22.9663333,91.4356108,780.0000000000011,,,link,0.0
345,N1,LRP156a,22.9624167,91.4416941,109.00000000000887,,,link,0.0
346,N1,LRP156b,22.9618056,91.4424997,110.99999999999,,,link,0.0
347,N1,LRP157,22.9611667,91.4433886,1043.0000000000064,,,link,0.0
348,N1,LRP158,22.9561389,91.4517778,1000.0,,,link,0.0
349,N1,LRP159,22.9514444,91.4600278,1012.0000000000005,,,link,0.0
350,N1,LRP160,22.9479997,91.4689993,737.9999999999995,,,link,0.0
351,N1,LRP160a,22.9483608,91.4761382,262.00000000000045,,,link,0.0
352,N1,LRP161,22.9484997,91.4786938,1008.0000000000098,,,link,0.0
353,N1,LRP162,22.9497497,91.4883608,1000.0,,,link,0.0
354,N1,LRP163,22.9497774,91.4980274,287.9999999999825,,,link,0.0
355,N1,LRP163a,22.9496663,91.5007778,211.00000000001273,,,link,0.0
356,N1,LRP163b,22.949583,91.5027778,508.99999999998613,,,link,0.0
357,N1,LRP164,22.9482774,91.50725,618.9999999999998,,,link,0.0
358,N1,LRP164a,22.9439441,91.5108611,381.0000000000002,,,link,0.0
359,N1,LRP165,22.940833,91.5124444,1000.0,,,link,0.0
360,N1,LRP166,22.9329716,91.5172216,1000.0,,,link,0.0
